platform,content_id,aid,crawl_mode,user_name,user_id,comment_text,like_count,reply_count,comment_time,rpid
bilibili,BV1TpjQ6TEQz,116802608695925,hot,最佳棷槑勋章,192228492,背景好硬啊，她的一部剧我都没看，就知道好多剧女主角都是她，笑的太吵了[蹲蹲],51,0,2026-06-24 17:58:30,303719162689
bilibili,BV1TpjQ6TEQz,116802608695925,hot,神剑庄三少爷,692535316,他是不是比文章还要顺[思考][思考][思考],53,11,2026-06-24 15:34:57,306820368368
bilibili,BV1TpjQ6TEQz,116802608695925,hot,新疆炒米粉之神,3461576459815769,[吃瓜],149,2,2026-06-24 16:10:21,303709626641
bilibili,BV1TpjQ6TEQz,116802608695925,hot,我就纳闷了叫啥不行啊,4920968,实话说，她这种性格确实相当讨一部分男人喜欢，就是那种没头没脑开心果的感觉，而且她长得也不差，她男人缘应该挺好的,6,0,2026-06-24 18:31:39,303722518913
bilibili,BV1TpjQ6TEQz,116802608695925,hot,weixun长岛冰茶,3546773496793817,白鹿好大的一张脸,3,0,2026-06-24 19:18:57,306841435168
bilibili,BV1TpjQ6TEQz,116802608695925,hot,失忆渔摆摆,85501912,我真想不通为啥这么多人捧她 就算陪了也不至于这样吧,64,2,2026-06-24 10:36:12,306794067648
bilibili,BV1TpjQ6TEQz,116802608695925,hot,alf77,13801767,一直搞不懂到底什么人在喜欢她[热],5,1,2026-06-24 10:32:07,303681039313
bilibili,BV1TpjQ6TEQz,116802608695925,hot,bili_29052576455,1218595579,还有不知道第多少关[吃瓜][吃瓜][吃瓜][吃瓜],833,6,2026-06-24 14:17:21,303701007745
bilibili,BV1TpjQ6TEQz,116802608695925,hot,路人npc这一块,3546964893370441,这视频难受的我都看不完[笑哭]看了一半就受不了了,7,0,2026-06-24 18:33:02,306836455808
bilibili,BV1TpjQ6TEQz,116802608695925,hot,竹樾Eryn,34022364,只是纳闷，有学历造假吗？？？这学历还要造假？[笑哭],39,4,2026-06-24 19:17:24,303727449697
bilibili,BV1TpjQ6TEQz,116802608695925,hot,何时才能有猫,70551717,大家可能不看纯文学，谁知道我知道徐则臣的北上女主是白鹿有多震惊，我现在手边还有徐则臣的耶路撒冷,374,10,2026-06-24 16:03:48,306822650528
bilibili,BV1TpjQ6TEQz,116802608695925,hot,J777_Y,440451564,别的无所谓，就是别再说跟李一桐长得像了，哪里像了[辣眼睛]差远了,4,0,2026-06-24 18:22:33,303721633569
bilibili,BV1TpjQ6TEQz,116802608695925,hot,新疆炒米粉之神,3461576459815769,[笑哭],83,12,2026-06-24 16:10:55,303709640929
bilibili,BV1TpjQ6TEQz,116802608695925,hot,韩艾芊,688515896,他现在莫离那部剧是粉丝刷上去的就是弄云包场投钱而且粉丝还集资，跟逐玉一个样虚假泡沫,49,1,2026-06-24 13:36:56,303697921521
bilibili,BV1TpjQ6TEQz,116802608695925,hot,硬币改名改命硬,28812394,于公公喜欢真男人没什么问题吧[吃瓜],3,0,2026-06-24 17:37:50,303717213793
bilibili,BV1TpjQ6TEQz,116802608695925,hot,玛卡巴卡巴卡巴卡拉,666679726,好像那种精神小妹崩老头的人 让人反感,26,1,2026-06-24 16:21:09,306824028304
